MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
1,25,10463.156599973061,3168,827,2341,10363.156599973061,26.10479797979798
14,56,10447.151821431871,1668,433,1235,10347.151821431871,25.959232613908874
15,56,10320.91244643291,1579,400,1179,10220.91244643291,25.332488917036102
15,57,10128.261859654733,1569,390,1179,10028.261859654733,24.8565965583174
14,57,10011.47438596777,1648,416,1232,9911.47438596777,25.24271844660194
14,55,9984.373690909095,1692,436,1256,9884.373690909095,25.768321513002363
1,27,9899.000481462152,3140,842,2298,9799.000481462152,26.81528662420382
17,57,9860.05124562384,1472,356,1116,9760.05124562384,24.184782608695652
1,26,9858.32899997718,3176,838,2338,9758.32899997718,26.385390428211586
1,19,9851.191526278717,3290,855,2435,9751.191526278717,25.987841945288753
1,18,9797.026166632691,3335,865,2470,9697.026166632691,25.937031484257872
15,55,9789.533727274695,1600,396,1204,9689.533727274695,24.75
16,57,9751.017175443005,1499,363,1136,9651.017175443005,24.216144096064042
1,24,9728.485208299222,3188,838,2350,9628.485208299222,26.28607277289837
1,21,9689.29123805687,3285,856,2429,9589.29123805687,26.057838660578387
17,56,9662.17237500821,1480,355,1125,9562.17237500821,23.986486486486484
14,58,9550.026258624664,1652,402,1250,9450.026258624664,24.33414043583535
16,56,9503.645500003422,1506,359,1147,9403.645500003422,23.837981407702525
1,22,9488.867863600124,3262,859,2403,9388.867863600124,26.33353770692827
16,23,9481.709521741326,1703,371,1332,9381.709521741326,21.785085143863768
14,49,9469.65555102702,1708,437,1271,9369.65555102702,25.585480093676814
1,17,9386.932823483112,3420,886,2534,9286.932823483112,25.90643274853801
14,52,9374.373173075146,1685,431,1254,9274.373173075146,25.5786350148368
14,59,9351.09964407287,1624,392,1232,9251.09964407287,24.137931034482758
16,20,9342.277750001824,1640,335,1305,9242.277750001824,20.426829268292682
15,24,9303.079624996793,1879,404,1475,9203.079624996793,21.500798296966472
14,48,9277.977291673506,1740,443,1297,9177.977291673506,25.459770114942533
14,54,9258.474074073569,1692,428,1264,9158.474074073569,25.295508274231675
17,55,9227.29016364337,1503,356,1147,9127.29016364337,23.68596141051231
1,23,9217.499695619856,3208,841,2367,9117.499695619856,26.21571072319202
16,22,9212.637999998093,1710,368,1342,9112.637999998093,21.52046783625731
16,21,9203.95714285603,1683,352,1331,9103.95714285603,20.915032679738562
15,23,9166.861999998502,1824,391,1433,9066.861999998502,21.436403508771928
14,41,9165.437341471796,1838,446,1392,9065.437341471796,24.26550598476605
1,63,9154.15690475334,2555,668,1887,9054.15690475334,26.14481409001957
1,20,9132.0338999538,3299,855,2444,9032.0338999538,25.916944528645043
15,25,9087.14683999712,1903,401,1502,8987.14683999712,21.071991592222805
14,50,9044.697940000891,1690,425,1265,8944.697940000891,25.14792899408284
15,49,9039.080061235152,1622,395,1227,8939.080061235152,24.35265104808878
14,45,9027.732844444352,1810,445,1365,8927.732844444352,24.585635359116022
17,59,9024.15271187517,1455,338,1117,8924.15271187517,23.230240549828178
16,24,9023.017916667126,1770,383,1387,8923.017916667126,21.638418079096045
14,53,8998.105037733738,1712,426,1286,8898.105037733738,24.88317757009346
15,22,8984.001727267563,1831,396,1435,8884.001727267563,21.62752594210814
15,50,8979.507240008497,1610,389,1221,8879.507240008497,24.161490683229815
17,54,8963.864407411027,1517,346,1171,8863.864407411027,22.808174027686224
17,53,8955.823037740418,1519,348,1171,8855.823037740418,22.909809084924294
17,61,8920.459098369309,1430,328,1102,8820.459098369309,22.937062937062937
14,25,8911.041359992902,1989,430,1559,8811.041359992902,21.61890397184515
14,22,8903.47468180619,1963,429,1534,8803.47468180619,21.85430463576159
17,52,8892.288250003308,1511,358,1153,8792.288250003308,23.692918596955657
15,58,8887.556379315683,1570,377,1193,8787.556379315683,24.012738853503183
14,40,8880.298000007391,1860,446,1414,8780.298000007391,23.978494623655912
17,20,8878.252250003417,1537,310,1227,8778.252250003417,20.169160702667536
16,55,8872.244672728928,1530,356,1174,8772.244672728928,23.26797385620915
15,21,8863.632809518593,1796,373,1423,8763.632809518593,20.76837416481069
17,62,8849.825112910872,1422,340,1082,8749.825112910872,23.90998593530239
22,17,8839.02582352771,1669,348,1321,8739.02582352771,20.85080886758538
14,24,8835.371458325058,1976,434,1542,8735.371458325058,21.963562753036435
37,17,8817.84658823055,1723,370,1353,8717.84658823055,21.47417295414974
17,21,8800.554190477847,1589,334,1255,8700.554190477847,21.019509125235995
17,51,8796.47845098696,1508,352,1156,8696.47845098696,23.342175066312997
15,48,8796.366375009457,1657,403,1254,8696.366375009457,24.321062160531078
17,23,8773.67000000261,1619,348,1271,8673.67000000261,21.494749845583694
17,50,8770.240040006825,1516,351,1165,8670.240040006825,23.153034300791557
17,48,8768.874500008998,1567,371,1196,8668.874500008998,23.675813656668794
1,64,8752.500578119105,2545,670,1875,8652.500578119105,26.326129666011788
14,21,8750.708095232003,1940,416,1524,8650.708095232003,21.443298969072163
14,62,8744.285419353397,1599,391,1208,8644.285419353397,24.452782989368355
14,26,8743.591499997958,1998,448,1550,8643.591499997958,22.42242242242242
15,59,8742.652898311335,1546,371,1175,8642.652898311335,23.997412677878398
15,54,8726.882351853103,1602,379,1223,8626.882351853103,23.65792759051186
14,64,8723.44121874877,1585,380,1205,8623.44121874877,23.974763406940063
16,59,8699.527033905139,1480,344,1136,8599.527033905139,23.243243243243246
17,58,8683.793741389603,1477,343,1134,8583.793741389603,23.22274881516588
15,53,8683.249962264523,1613,379,1234,8583.249962264523,23.496590204587726
15,52,8663.57592307917,1600,391,1209,8563.57592307917,24.4375
17,63,8643.27368254553,1427,338,1089,8543.27368254553,23.68605466012614
15,45,8620.879844448606,1724,398,1326,8520.879844448606,23.08584686774942
16,18,8609.768499998212,1574,311,1263,8509.768499998212,19.758576874205843
