MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,27,9899.000481462152,3140,842,2298,0.0,9799.000481462152,26.81528662420382,SURVIVED (PROFIT)
1,19,9851.191526278717,3290,855,2435,0.0,9751.191526278717,25.987841945288753,SURVIVED (PROFIT)
1,17,9386.932823483112,3420,886,2534,0.0,9286.932823483112,25.90643274853801,SURVIVED (PROFIT)
1,23,9217.499695619856,3208,841,2367,0.0,9117.499695619856,26.21571072319202,SURVIVED (PROFIT)
22,17,8839.02582352771,1669,348,1321,0.0,8739.02582352771,20.85080886758538,SURVIVED (PROFIT)
17,21,8800.554190477847,1589,334,1255,0.0,8700.554190477847,21.019509125235995,SURVIVED (PROFIT)
1,28,8583.35332140941,3137,845,2292,0.0,8483.35332140941,26.93656359579216,SURVIVED (PROFIT)
17,22,8316.3588636352,1629,347,1282,0.0,8216.3588636352,21.301411909146715,SURVIVED (PROFIT)
12,16,8035.910062495855,2157,452,1705,0.0,7935.910062495855,20.95503013444599,SURVIVED (PROFIT)
17,19,7826.087157896393,1481,293,1188,0.0,7726.087157896393,19.783929777177583,SURVIVED (PROFIT)
19,17,7811.495294115138,1507,302,1205,0.0,7711.495294115138,20.039814200398144,SURVIVED (PROFIT)
1,29,7311.386517225997,3123,822,2301,0.0,7211.386517225997,26.320845341018252,SURVIVED (PROFIT)
55,19,7077.271052627953,1513,333,1180,0.0,6977.271052627953,22.00925313945803,SURVIVED (PROFIT)
32,17,6879.9421764710305,1708,347,1361,0.0,6779.9421764710305,20.316159250585482,SURVIVED (PROFIT)
5,23,6780.851173900558,4025,1038,2987,0.0,6680.851173900558,25.788819875776397,SURVIVED (PROFIT)
84,20,6146.80709999372,1467,303,1164,0.0,6046.80709999372,20.654396728016362,SURVIVED (PROFIT)
13,38,5950.4748947414855,1981,478,1503,0.0,5850.4748947414855,24.129227662796566,SURVIVED (PROFIT)
13,37,5918.5911351385275,1988,494,1494,0.0,5818.5911351385275,24.849094567404425,SURVIVED (PROFIT)
85,19,5909.404578943007,1500,325,1175,0.0,5809.404578943007,21.666666666666668,SURVIVED (PROFIT)
86,19,5856.139263152974,1517,322,1195,0.0,5756.139263152974,21.22610415293342,SURVIVED (PROFIT)
41,13,5827.913923087884,2098,458,1640,0.0,5727.913923087884,21.830314585319353,SURVIVED (PROFIT)
84,19,5822.70568420639,1494,321,1173,0.0,5722.70568420639,21.485943775100402,SURVIVED (PROFIT)
64,19,5819.05815789066,1473,314,1159,0.0,5719.05815789066,21.31704005431093,SURVIVED (PROFIT)
13,36,5808.754138892446,1986,499,1487,0.0,5708.754138892446,25.125881168177237,SURVIVED (PROFIT)
85,20,5777.00909999341,1476,305,1171,0.0,5677.00909999341,20.663956639566393,SURVIVED (PROFIT)
83,19,5767.810894732216,1483,321,1162,0.0,5667.810894732216,21.645313553607554,SURVIVED (PROFIT)
82,19,5677.141315785657,1472,316,1156,0.0,5577.141315785657,21.467391304347828,SURVIVED (PROFIT)
40,13,5660.9920000102575,2105,459,1646,0.0,5560.9920000102575,21.80522565320665,SURVIVED (PROFIT)
51,1,5586.807000000104,2858,580,2278,0.0,5486.807000000104,20.293911826452067,SURVIVED (PROFIT)
42,13,5582.951384630663,2118,466,1652,0.0,5482.951384630663,22.001888574126536,SURVIVED (PROFIT)
52,1,5577.3710000001065,2851,582,2269,0.0,5477.3710000001065,20.413889863205892,SURVIVED (PROFIT)
36,13,5568.318846158834,2127,459,1668,0.0,5468.318846158834,21.57968970380818,SURVIVED (PROFIT)
62,1,5526.257000000107,2836,578,2258,0.0,5426.257000000107,20.380818053596613,SURVIVED (PROFIT)
87,19,5502.28989473257,1514,322,1192,0.0,5402.28989473257,21.268163804491415,SURVIVED (PROFIT)
39,13,5499.209615394266,2124,464,1660,0.0,5399.209615394266,21.84557438794727,SURVIVED (PROFIT)
