MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
19,67,6464.806507620078,14287,3194,11093,6364.806507620078,22.355987961083503
31,21,6442.637380875873,15852,3275,12577,6342.637380875873,20.659853646227607
17,67,6377.138701464816,14934,3376,11558,6277.138701464816,22.606133654747556
25,46,6159.53758680475,13802,2774,11028,6059.53758680475,20.098536443993627
18,67,6153.133970277858,14572,3274,11298,6053.133970277858,22.46774636288773
66,21,6003.793142808465,16040,3429,12611,5903.793142808465,21.37780548628429
67,21,5907.5699998368755,16033,3425,12608,5807.5699998368755,21.362190482130604
31,19,5900.672947181218,17105,3663,13442,5800.672947181218,21.414790996784568
17,68,5856.755617569145,14832,3345,11487,5756.755617569145,22.552588996763753
17,70,5851.845385662844,14794,3367,11427,5751.845385662844,22.759226713532513
18,70,5810.885614344453,14394,3256,11138,5710.885614344453,22.620536334583853
86,21,5806.821904804699,15713,3368,12345,5706.821904804699,21.434481002991156
19,70,5801.922571499557,14111,3148,10963,5701.922571499557,22.3088370774573
17,71,5754.221507031703,14739,3410,11329,5654.221507031703,23.13589795779904
46,21,5719.186333323232,16026,3421,12605,5619.186333323232,21.346561837014853
30,19,5694.944105063573,17230,3655,13575,5594.944105063573,21.213000580383053
32,19,5689.366526278463,17041,3644,13397,5589.366526278463,21.38372161258142
19,66,5683.724409209296,14410,3206,11204,5583.724409209296,22.248438584316446
19,65,5673.61350776764,14472,3228,11244,5573.61350776764,22.30514096185738
46,19,5627.395631813255,17177,3758,13419,5527.395631813255,21.878092798509634
85,21,5606.413333415291,15707,3345,12362,5506.413333415291,21.29623734640606
88,21,5539.026428735325,15778,3390,12388,5439.026428735325,21.48561287869185
50,21,5531.474857156118,16081,3413,12668,5431.474857156118,21.223804489770536
17,66,5522.695227253292,15044,3388,11656,5422.695227253292,22.520606221749535
97,21,5497.94557157496,15608,3384,12224,5397.94557157496,21.68118913377755
97,23,5441.206739310885,14746,3117,11629,5341.206739310885,21.137935711379356
87,21,5436.51761920573,15755,3395,12360,5336.51761920573,21.548714693748018
25,43,5426.942116189996,13865,2722,11143,5326.942116189996,19.632167327803824
100,24,5426.824750129121,14403,2951,11452,5326.824750129121,20.488787058251752
18,71,5421.05607050665,14359,3268,11091,5321.05607050665,22.759245072776658
68,21,5382.556904667714,15994,3414,12580,5282.556904667714,21.345504564211577
18,68,5379.9581618321945,14463,3235,11228,5279.9581618321945,22.367420313904447
