Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
1,1,25,10463.156599973061,3168,827,2341,10363.156599973061,26.10479797979798
2,14,56,10447.151821431871,1668,433,1235,10347.151821431871,25.959232613908874
3,15,56,10320.91244643291,1579,400,1179,10220.91244643291,25.332488917036102
4,15,57,10128.261859654733,1569,390,1179,10028.261859654733,24.8565965583174
5,14,57,10011.47438596777,1648,416,1232,9911.47438596777,25.24271844660194
6,14,55,9984.373690909095,1692,436,1256,9884.373690909095,25.768321513002363
7,1,27,9899.000481462152,3140,842,2298,9799.000481462152,26.81528662420382
8,17,57,9860.05124562384,1472,356,1116,9760.05124562384,24.184782608695652
9,1,26,9858.32899997718,3176,838,2338,9758.32899997718,26.385390428211586
10,1,19,9851.191526278717,3290,855,2435,9751.191526278717,25.987841945288753
11,1,18,9797.026166632691,3335,865,2470,9697.026166632691,25.937031484257872
12,15,55,9789.533727274695,1600,396,1204,9689.533727274695,24.75
13,16,57,9751.017175443005,1499,363,1136,9651.017175443005,24.216144096064042
14,1,24,9728.485208299222,3188,838,2350,9628.485208299222,26.28607277289837
15,1,21,9689.29123805687,3285,856,2429,9589.29123805687,26.057838660578387
16,17,56,9662.17237500821,1480,355,1125,9562.17237500821,23.986486486486484
17,14,58,9550.026258624664,1652,402,1250,9450.026258624664,24.33414043583535
18,16,56,9503.645500003422,1506,359,1147,9403.645500003422,23.837981407702525
19,1,22,9488.867863600124,3262,859,2403,9388.867863600124,26.33353770692827
20,16,23,9481.709521741326,1703,371,1332,9381.709521741326,21.785085143863768
