Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,14,41,7543.368243902188,229,77,152,0.0,7443.368243902188,33.624454148471614,SURVIVED (PROFIT)
2,15,57,7429.764456143128,182,60,122,0.0,7329.764456143128,32.967032967032964,SURVIVED (PROFIT)
3,14,57,7393.294754387584,193,63,130,0.0,7293.294754387584,32.64248704663213,SURVIVED (PROFIT)
4,16,57,7368.764894741135,171,60,111,0.0,7268.764894741135,35.08771929824561,SURVIVED (PROFIT)
5,17,57,7159.081701760532,172,57,115,0.0,7059.081701760532,33.13953488372093,SURVIVED (PROFIT)
6,15,41,6943.283951220772,224,71,153,0.0,6843.283951220772,31.69642857142857,SURVIVED (PROFIT)
7,14,40,6435.63434999915,227,74,153,0.0,6335.63434999915,32.59911894273127,SURVIVED (PROFIT)
8,16,41,6380.91229268796,193,58,135,0.0,6280.91229268796,30.05181347150259,SURVIVED (PROFIT)
9,17,41,6151.425317079199,199,61,138,0.0,6051.425317079199,30.65326633165829,SURVIVED (PROFIT)
10,12,41,5963.050000001079,243,81,162,0.0,5863.050000001079,33.33333333333333,SURVIVED (PROFIT)
11,12,59,5885.311745759348,207,70,137,0.0,5785.311745759348,33.81642512077295,SURVIVED (PROFIT)
12,11,59,5843.185101693818,217,74,143,0.0,5743.185101693818,34.10138248847927,SURVIVED (PROFIT)
13,15,40,5771.521525001152,223,70,153,0.0,5671.521525001152,31.390134529147986,SURVIVED (PROFIT)
14,14,87,5725.966931033915,203,63,140,0.0,5625.966931033915,31.03448275862069,SURVIVED (PROFIT)
15,12,15,5717.835733330866,274,66,208,0.0,5617.835733330866,24.087591240875913,SURVIVED (PROFIT)
16,14,39,5703.836230768436,230,70,160,0.0,5603.836230768436,30.434782608695656,SURVIVED (PROFIT)
17,11,57,5650.471964910078,218,71,147,0.0,5550.471964910078,32.56880733944954,SURVIVED (PROFIT)
18,13,41,5641.47190243824,237,79,158,0.0,5541.47190243824,33.33333333333333,SURVIVED (PROFIT)
19,12,57,5613.913175434312,207,67,140,0.0,5513.913175434312,32.367149758454104,SURVIVED (PROFIT)
20,11,58,5571.856017239891,221,71,150,0.0,5471.856017239891,32.126696832579185,SURVIVED (PROFIT)
