Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,1,27,9899.000481462152,3140,842,2298,0.0,9799.000481462152,26.81528662420382,SURVIVED (PROFIT)
2,1,19,9851.191526278717,3290,855,2435,0.0,9751.191526278717,25.987841945288753,SURVIVED (PROFIT)
3,1,17,9386.932823483112,3420,886,2534,0.0,9286.932823483112,25.90643274853801,SURVIVED (PROFIT)
4,1,23,9217.499695619856,3208,841,2367,0.0,9117.499695619856,26.21571072319202,SURVIVED (PROFIT)
5,22,17,8839.02582352771,1669,348,1321,0.0,8739.02582352771,20.85080886758538,SURVIVED (PROFIT)
6,17,21,8800.554190477847,1589,334,1255,0.0,8700.554190477847,21.019509125235995,SURVIVED (PROFIT)
7,1,28,8583.35332140941,3137,845,2292,0.0,8483.35332140941,26.93656359579216,SURVIVED (PROFIT)
8,17,22,8316.3588636352,1629,347,1282,0.0,8216.3588636352,21.301411909146715,SURVIVED (PROFIT)
9,12,16,8035.910062495855,2157,452,1705,0.0,7935.910062495855,20.95503013444599,SURVIVED (PROFIT)
10,17,19,7826.087157896393,1481,293,1188,0.0,7726.087157896393,19.783929777177583,SURVIVED (PROFIT)
11,19,17,7811.495294115138,1507,302,1205,0.0,7711.495294115138,20.039814200398144,SURVIVED (PROFIT)
12,1,29,7311.386517225997,3123,822,2301,0.0,7211.386517225997,26.320845341018252,SURVIVED (PROFIT)
13,55,19,7077.271052627953,1513,333,1180,0.0,6977.271052627953,22.00925313945803,SURVIVED (PROFIT)
14,32,17,6879.9421764710305,1708,347,1361,0.0,6779.9421764710305,20.316159250585482,SURVIVED (PROFIT)
15,5,23,6780.851173900558,4025,1038,2987,0.0,6680.851173900558,25.788819875776397,SURVIVED (PROFIT)
16,84,20,6146.80709999372,1467,303,1164,0.0,6046.80709999372,20.654396728016362,SURVIVED (PROFIT)
17,13,38,5950.4748947414855,1981,478,1503,0.0,5850.4748947414855,24.129227662796566,SURVIVED (PROFIT)
18,13,37,5918.5911351385275,1988,494,1494,0.0,5818.5911351385275,24.849094567404425,SURVIVED (PROFIT)
19,85,19,5909.404578943007,1500,325,1175,0.0,5809.404578943007,21.666666666666668,SURVIVED (PROFIT)
20,86,19,5856.139263152974,1517,322,1195,0.0,5756.139263152974,21.22610415293342,SURVIVED (PROFIT)
