Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,15,55,5342.655527284769,402,106,296,0.0,5242.655527284769,26.368159203980102,SURVIVED (PROFIT)
2,29,53,5260.997509431217,260,55,205,0.0,5160.997509431217,21.153846153846153,SURVIVED (PROFIT)
3,29,52,5244.776326915688,266,59,207,0.0,5144.776326915688,22.18045112781955,SURVIVED (PROFIT)
4,29,55,5233.924599989879,283,61,222,0.0,5133.924599989879,21.554770318021202,SURVIVED (PROFIT)
5,29,51,5148.368980387673,263,58,205,0.0,5048.368980387673,22.0532319391635,SURVIVED (PROFIT)
6,29,50,5143.495799996823,263,58,205,0.0,5043.495799996823,22.0532319391635,SURVIVED (PROFIT)
7,29,54,5142.338592588676,272,57,215,0.0,5042.338592588676,20.955882352941178,SURVIVED (PROFIT)
8,32,53,5114.640339605787,247,53,194,0.0,5014.640339605787,21.45748987854251,SURVIVED (PROFIT)
9,33,53,5064.822943380839,248,49,199,0.0,4964.822943380839,19.758064516129032,SURVIVED (PROFIT)
10,27,50,5035.110960001321,264,65,199,0.0,4935.110960001321,24.62121212121212,SURVIVED (PROFIT)
11,27,51,5014.964117651283,268,67,201,0.0,4914.964117651283,25.0,SURVIVED (PROFIT)
12,29,48,5006.077770829058,265,63,202,0.0,4906.077770829058,23.77358490566038,SURVIVED (PROFIT)
13,28,50,5004.965719999284,260,60,200,0.0,4904.965719999284,23.076923076923077,SURVIVED (PROFIT)
14,14,12,4996.705999989249,510,113,397,0.0,4896.705999989249,22.15686274509804,SURVIVED (PROFIT)
15,15,54,4993.618777795597,396,100,296,0.0,4893.618777795597,25.252525252525253,SURVIVED (PROFIT)
16,28,51,4967.437568624256,262,60,202,0.0,4867.437568624256,22.900763358778626,SURVIVED (PROFIT)
17,32,54,4954.26653701982,259,55,204,0.0,4854.26653701982,21.235521235521233,SURVIVED (PROFIT)
18,18,12,4872.255916665236,586,131,455,0.0,4772.255916665236,22.35494880546075,SURVIVED (PROFIT)
19,33,54,4832.108129614312,264,52,212,0.0,4732.108129614312,19.696969696969695,SURVIVED (PROFIT)
20,32,55,4719.033145434035,279,56,223,0.0,4619.033145434035,20.07168458781362,SURVIVED (PROFIT)
