Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Is_MC,Net_Profit,Win_Rate_%,Status
1,1,16,6669.684187371729,6788,1701,5087,0.0,6569.684187371729,25.058927519151442,SURVIVED (PROFIT)
2,31,2,5987.490000000448,10827,2661,8166,0.0,5887.490000000448,24.577445275699638,SURVIVED (PROFIT)
3,33,2,5987.490000000448,10827,2661,8166,0.0,5887.490000000448,24.577445275699638,SURVIVED (PROFIT)
4,32,2,5987.490000000448,10827,2661,8166,0.0,5887.490000000448,24.577445275699638,SURVIVED (PROFIT)
5,29,2,5987.362000000449,10827,2661,8166,0.0,5887.362000000449,24.577445275699638,SURVIVED (PROFIT)
6,30,2,5987.362000000449,10827,2661,8166,0.0,5887.362000000449,24.577445275699638,SURVIVED (PROFIT)
7,3,2,5985.529000000449,10835,2661,8174,0.0,5885.529000000449,24.559298569450856,SURVIVED (PROFIT)
8,15,2,5980.963000000448,10830,2661,8169,0.0,5880.963000000448,24.570637119113574,SURVIVED (PROFIT)
9,14,2,5980.4430000004495,10830,2661,8169,0.0,5880.4430000004495,24.570637119113574,SURVIVED (PROFIT)
10,11,2,5977.07900000045,10832,2661,8171,0.0,5877.07900000045,24.56610044313146,SURVIVED (PROFIT)
11,64,2,5976.714000000448,10831,2660,8171,0.0,5876.714000000448,24.559135813867602,SURVIVED (PROFIT)
12,27,2,5975.564000000449,10826,2662,8164,0.0,5875.564000000449,24.588952521707004,SURVIVED (PROFIT)
13,13,2,5973.991000000448,10830,2661,8169,0.0,5873.991000000448,24.570637119113574,SURVIVED (PROFIT)
14,12,2,5973.968000000449,10830,2661,8169,0.0,5873.968000000449,24.570637119113574,SURVIVED (PROFIT)
15,1,2,5973.914000000509,10838,2662,8176,0.0,5873.914000000509,24.561727255951283,SURVIVED (PROFIT)
16,28,2,5972.675000000448,10826,2661,8165,0.0,5872.675000000448,24.57971549972289,SURVIVED (PROFIT)
17,6,2,5969.833499999898,10834,2661,8173,0.0,5869.833499999898,24.561565442126636,SURVIVED (PROFIT)
18,5,2,5968.797499999898,10835,2661,8174,0.0,5868.797499999898,24.559298569450856,SURVIVED (PROFIT)
19,4,2,5968.132000000448,10837,2661,8176,0.0,5868.132000000448,24.554766079173206,SURVIVED (PROFIT)
20,65,2,5967.714000000448,10832,2660,8172,0.0,5867.714000000448,24.556868537666173,SURVIVED (PROFIT)
