Rank,MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
1,19,67,6464.806507620078,14287,3194,11093,6364.806507620078,22.355987961083503
2,31,21,6442.637380875873,15852,3275,12577,6342.637380875873,20.659853646227607
3,17,67,6377.138701464816,14934,3376,11558,6277.138701464816,22.606133654747556
4,25,46,6159.53758680475,13802,2774,11028,6059.53758680475,20.098536443993627
5,18,67,6153.133970277858,14572,3274,11298,6053.133970277858,22.46774636288773
6,66,21,6003.793142808465,16040,3429,12611,5903.793142808465,21.37780548628429
7,67,21,5907.5699998368755,16033,3425,12608,5807.5699998368755,21.362190482130604
8,31,19,5900.672947181218,17105,3663,13442,5800.672947181218,21.414790996784568
9,17,68,5856.755617569145,14832,3345,11487,5756.755617569145,22.552588996763753
10,17,70,5851.845385662844,14794,3367,11427,5751.845385662844,22.759226713532513
11,18,70,5810.885614344453,14394,3256,11138,5710.885614344453,22.620536334583853
12,86,21,5806.821904804699,15713,3368,12345,5706.821904804699,21.434481002991156
13,19,70,5801.922571499557,14111,3148,10963,5701.922571499557,22.3088370774573
14,17,71,5754.221507031703,14739,3410,11329,5654.221507031703,23.13589795779904
15,46,21,5719.186333323232,16026,3421,12605,5619.186333323232,21.346561837014853
16,30,19,5694.944105063573,17230,3655,13575,5594.944105063573,21.213000580383053
17,32,19,5689.366526278463,17041,3644,13397,5589.366526278463,21.38372161258142
18,19,66,5683.724409209296,14410,3206,11204,5583.724409209296,22.248438584316446
19,19,65,5673.61350776764,14472,3228,11244,5573.61350776764,22.30514096185738
20,46,19,5627.395631813255,17177,3758,13419,5527.395631813255,21.878092798509634
